x,y,z,score,type,face_idx,edge_idx,vertex_idx
0.19892442082131404,0.2618957750821056,0.0476243694860812,0.0033640949643016006,specular,237,-1,-1
-0.026681731460092884,-0.08454086789270136,0.06215321022388171,0.0028420828789901716,specular,20,-1,-1
-0.19566512589030974,0.1983300586012165,-0.03113357740314457,8.774727515013334e-07,edge,-1,514,-1
-0.19566512589030974,0.1983300586012165,-0.02454362661332894,8.745126075566059e-07,edge,-1,367,-1
0.08559912807866384,-0.18096214083875453,-0.031133578252505133,0.002645830044014536,specular,234,-1,-1
-0.18738386719285757,0.07036691139118521,-0.031133578252505133,0.0026228420895503405,specular,235,-1,-1
0.21807554799480733,0.2969102328296655,0.043551700873468324,0.0022178597375122604,specular,121,-1,-1
0.11187952791630412,0.039221467676529474,-0.031133580800586824,0.0019508301248778758,specular,225,-1,-1
0.029882801025760724,0.11471392217472126,-0.031133580800586824,0.0019457135463032374,specular,226,-1,-1
-0.0820324529572375,-0.033580756147835907,0.062153210223881726,0.0017733899048371264,specular,96,-1,-1
-0.17013253876575704,-0.25201414170936953,0.06904358324238467,0.0015272481520840512,specular,15,-1,-1
0.04175748513158001,-0.1620871373869532,0.010304857586553298,0.001414490679567404,specular,56,-1,-1
0.26312854048368767,0.37963760176014855,0.07571142209457755,0.0013130066284691214,specular,238,-1,-1
0.17321108467272417,0.2589912609304812,0.0732468359454441,3.9476735042738604e-07,edge,-1,129,-1
0.17511867035676137,0.25723498033719316,0.0732468359454441,3.8654073778760124e-07,edge,-1,711,-1
-0.20778585106538944,-0.16835945450562648,0.08755598107993715,3.8434422183840494e-07,edge,-1,276,-1
-0.04465994605472202,0.29020106918862504,-0.01653205688194105,0.0011668871407860167,specular,140,-1,-1
0.0659593247025086,-0.11309667240376538,0.028407371003460444,0.0011205907793565124,specular,59,-1,-1
0.22506276170729742,0.34617499371061305,0.08301095757724702,0.0010369060172284565,specular,120,-1,-1
0.21380936701697234,-0.1786635197436931,-0.03113357740314457,3.3101152426156586e-07,edge,-1,580,-1
0.16188616448000168,0.22748715603203262,0.05492390496875066,0.0010060545200002119,specular,43,-1,-1
0.21380936701697234,-0.1786635197436931,-0.02454362661332894,3.228755583557936e-07,edge,-1,141,-1
0.2706245381608156,0.37248353286371605,0.055878425712772024,3.2240952778115794e-07,edge,-1,725,-1
0.2896118610535099,-0.054942998194994354,-0.031133580800586824,0.0009774371292934562,specular,236,-1,-1
0.2721658218134324,0.37106451636290977,0.055878425712772024,3.1556358722642624e-07,edge,-1,714,-1
-0.07861657108614156,0.28407627580747313,-0.031133580800586824,0.0009659693296413895,specular,209,-1,-1
0.17868953504984567,-0.15563456302400897,-0.015271221045644061,0.0009045415438861103,specular,64,-1,-1
0.1744841929198005,0.18949691938414373,0.01393739732290199,2.9006095813290246e-07,edge,-1,96,-1
0.17498731674564447,0.05393603808871044,0.0068953357273554795,0.0008793752169671093,specular,38,-1,-1
-0.08362012188893815,-0.2833792334631411,-0.0026643736951163003,0.0008748058359932655,specular,74,-1,-1
0.18221809479199233,0.19616671176563225,0.010786724890259409,2.655602932522795e-07,edge,-1,95,-1
0.2532299667734328,0.1516118930292329,-0.016966882775528158,2.622665425146073e-07,edge,-1,81,-1
0.24143579355541028,0.1359174871061212,-0.00912136982915317,2.6153096670367304e-07,edge,-1,75,-1
0.2532299667734328,0.1516118930292329,-0.031133581225267104,2.6151574527765226e-07,edge,-1,600,-1
0.18049354291190756,0.19775446733211036,0.010786724890259409,2.604976295645725e-07,edge,-1,326,-1
-0.2600847555071348,-0.3483798053206211,0.03789545724707,0.0007796290310558144,specular,9,-1,-1
-0.36279084815935325,-0.2489295936953022,-0.02481992275521526,2.4964225330562894e-07,edge,-1,235,-1
-0.36279084815935325,-0.2489295936953022,-0.031133583773348794,2.464296783161283e-07,edge,-1,552,-1
-0.20237125561541805,-0.31658683968947315,-0.03113358249930795,0.0007534215631043223,specular,223,-1,-1
-0.29880101537221987,-0.22780619013982725,-0.03113358249930795,0.0007511099483049535,specular,224,-1,-1
0.12412301287232114,0.014132645116132207,0.026137456596718008,0.0007375337555601019,specular,36,-1,-1
0.24733288016442156,0.14376469834894254,-0.01631573324006995,2.384935636332175e-07,edge,-1,80,-1
-0.2225714925720665,-0.14096379498543882,0.050453623496911265,2.368675331245971e-07,edge,-1,277,-1
-0.05024319903175118,-0.2383780927379302,0.02396588455343862,0.0007119189427131742,specular,73,-1,-1
-0.1506319608744195,-0.220979706022897,0.08755598107993715,2.176441868789973e-07,edge,-1,47,-1
-0.1112400372292977,0.019814329639483565,0.055853492733435865,2.1723378695194906e-07,edge,-1,286,-1
-0.10658450427307503,0.24937281652633492,-0.011540564451061879,0.0006446206724272168,specular,130,-1,-1
-0.009621487076363892,0.41659072499347855,-0.02439090224107842,2.0982651360716862e-07,edge,-1,375,-1
-0.009621497268690653,0.41659072499347855,-0.03113358249930795,2.0981519495087253e-07,edge,-1,468,-1
-0.009742706966599873,0.28531739883445606,-0.02439093026997701,2.078584665288921e-07,edge,-1,373,-1
-0.009742706966599873,0.28531739883445606,-0.031133581225267104,2.078472540819128e-07,edge,-1,618,-1
